Racer Name, Lap Count, Best Lap No, Best Lap Time,Best Clear Lap No,Best Clear Lap Time,Penalty Count, Total Time
ADV Ariye Hazan (E8),1,2,00:00:03.9757664,2,00:00:03.9757664,0,00:00:07.1472396
ADV Rubicon (E4),1,2,00:00:03.9916446,2,00:00:03.9916446,0,00:00:07.5071569
ADV Dor Smiloviz (F7),1,2,00:00:03.9517839,2,00:00:03.9517839,0,00:00:07.8352050
ADV Kfir Glass (F1),1,2,00:00:03.7678611,2,00:00:03.7678611,0,00:00:08.2511830
